Headlines,link,Date
" 

                         ,	
			                  		,
										Education is the only way to reach gender equality, says philanthropist Surina Narula","/women/related-stories.html?sectionTagID=MMSectionTags:English/women/on-a-roll&pathFrom=/content/mm/en/women,/women/on-a-roll/2018/02/07/surina-narula-education-gender-equality.html,/women/on-a-roll/2018/02/07/surina-narula-education-gender-equality.html",
" 

                         ,	
			                  		,
										Cycling may not harm men's sexual health","/wellness/related-stories.html?sectionTagID=MMSectionTags:English/Life-Style/study&pathFrom=/content/mm/en/wellness,/wellness/news-and-research/2018/01/13/cycling-may-not-harm-men-health.html,/wellness/news-and-research/2018/01/13/cycling-may-not-harm-men-health.html",
" 

                         ,	
			                  		,
										One cigarette can make two-thirds of adults addicts","/wellness/related-stories.html?sectionTagID=MMSectionTags:English/Life-Style/study&pathFrom=/content/mm/en/wellness,/wellness/news-and-research/2018/01/11/one-cigarette-make-two-thirds-adults-addicts.html,/wellness/news-and-research/2018/01/11/one-cigarette-make-two-thirds-adults-addicts.html",
" 

                         ,	
			                  		,
										Touring for work too often can up anxiety, depression risk","/wellness/related-stories.html?sectionTagID=MMSectionTags:English/Life-Style/research&pathFrom=/content/mm/en/wellness,/wellness/news-and-research/2018/01/09/touring-work-increase-anxiety-depression.html,/wellness/news-and-research/2018/01/09/touring-work-increase-anxiety-depression.html",
" 

                         ,	
			                  		,
										Decoded: What causes that 'gut feeling'","/wellness/related-stories.html?sectionTagID=MMSectionTags:English/Life-Style/research&pathFrom=/content/mm/en/wellness,/wellness/news-and-research/2018/01/09/reason-for-gut-feeling-decoded.html,/wellness/news-and-research/2018/01/09/reason-for-gut-feeling-decoded.html",
" 

                         ,	
			                  		,
										Heal Thy Self | 5 ways to prevent brain damage from multi-tasking","/wellness/related-stories.html?sectionTagID=MMSectionTags:English/Life-Style/health/mental-health&pathFrom=/content/mm/en/wellness,/wellness/mind/2018/01/09/heal-thy-self-prevent-brain-damage-multitasking.html,/wellness/mind/2018/01/09/heal-thy-self-prevent-brain-damage-multitasking.html",
" 

                         ,	
			                  		,
										Thirty minutes of sauna bath may reduce hypertension","/wellness/related-stories.html?sectionTagID=MMSectionTags:English/Life-Style/study&pathFrom=/content/mm/en/wellness,/wellness/news-and-research/2018/01/07/thirty-minutes-sauna-bath-reduce-hypertension.html,/wellness/news-and-research/2018/01/07/thirty-minutes-sauna-bath-reduce-hypertension.html",
" 

                         ,	
			                  		,
										Working on mobile devices from home may affect family life","/wellness/related-stories.html?sectionTagID=MMSectionTags:English/Life-Style/study&pathFrom=/content/mm/en/wellness,/wellness/news-and-research/2018/01/07/working-mobile-devices-affect-family-life.html,/wellness/news-and-research/2018/01/07/working-mobile-devices-affect-family-life.html",
" 

                         ,	
			                  		,
										Childhood asthma, food allergy may up anxiety disorder risk","/wellness/related-stories.html?sectionTagID=MMSectionTags:English/Life-Style/study&pathFrom=/content/mm/en/wellness,/wellness/news-and-research/2018/01/06/childhood-asthma-food-allergy-up-anxiety-disorder.html,/wellness/news-and-research/2018/01/06/childhood-asthma-food-allergy-up-anxiety-disorder.html",
" 

                         ,	
			                  		,
										Sleeping less than 8 hours a night can lead to depression","/wellness/related-stories.html?sectionTagID=MMSectionTags:English/Life-Style/study&pathFrom=/content/mm/en/wellness,/wellness/news-and-research/2018/01/05/sleeping-less-than-eight-hours-depression.html,/wellness/news-and-research/2018/01/05/sleeping-less-than-eight-hours-depression.html",
" 

                         ,	
			                  		,
										Do not use menstruation as an excuse to take leave: Twinkle Khanna","/women/related-stories.html?sectionTagID=MMSectionTags:English/women/issues&pathFrom=/content/mm/en/women,/women/issues/2018/02/06/do-not-use-menstruation-leave-excuse-twinkle-khanna.html,/women/issues/2018/02/06/do-not-use-menstruation-leave-excuse-twinkle-khanna.html",
" 

                         ,	
			                  		,
										This single mother's bold act breaks gender taboo","/women/related-stories.html?sectionTagID=MMSectionTags:English/women/on-a-roll&pathFrom=/content/mm/en/women,/women/on-a-roll/2018/02/06/this-single-mother-bold-act-breaks-gender-taboo.html,/women/on-a-roll/2018/02/06/this-single-mother-bold-act-breaks-gender-taboo.html",
" 

                         ,	
			                  		,
										Rohingya women find peace in 'widows' camp' barred to men in Bangladesh ","/women/related-stories.html?sectionTagID=MMSectionTags:English/women/issues&pathFrom=/content/mm/en/women,/women/issues/2018/02/06/rohingya-women-find-peace-widow-camps.html,/women/issues/2018/02/06/rohingya-women-find-peace-widow-camps.html",
" 

                         ,	
			                  		,
										Will my child need spectacles? Why Indian parents are constantly on worry mode","/women/related-stories.html?sectionTagID=MMSectionTags:English/women/living&pathFrom=/content/mm/en/women,/women/living/2018/02/06/children-spectacles-indian-parents-worry.html,/women/living/2018/02/06/children-spectacles-indian-parents-worry.html",
" 

                         ,	
			                  		,
										The 'Retyrement' Plan: Anu Tandon conjures up beauty out of waste","/women/related-stories.html?sectionTagID=MMSectionTags:English/women/shebusiness&pathFrom=/content/mm/en/women,/women/shebusiness/2018/02/05/retyrement-plan-anu-tandon-conjures-up-beauty-out-of-waste.html,/women/shebusiness/2018/02/05/retyrement-plan-anu-tandon-conjures-up-beauty-out-of-waste.html",
" 

                         ,	
			                  		,
										Here's what freedom of expression means to exiled artists","/women/related-stories.html?sectionTagID=MMSectionTags:English/women/on-a-roll&pathFrom=/content/mm/en/women,/women/on-a-roll/2018/02/05/what-freedom-of-expression-means-exiled-artists-paris-exhibition.html,/women/on-a-roll/2018/02/05/what-freedom-of-expression-means-exiled-artists-paris-exhibition.html",
" 

                         ,	
			                  		,
										5 health tips to get ready for the long and warm summer","/women/related-stories.html?sectionTagID=MMSectionTags:English/women/her-health&pathFrom=/content/mm/en/women,/women/herhealth/2018/02/05/health-tips-get-ready-for-the-long-warm-summer.html,/women/herhealth/2018/02/05/health-tips-get-ready-for-the-long-warm-summer.html",
" 

                         ,	
			                  		,
										Caffeine level in blood may predict Parkinson's disease","/wellness/related-stories.html?sectionTagID=MMSectionTags:English/Life-Style/study&pathFrom=/content/mm/en/wellness,/wellness/news-and-research/2018/01/04/caffeine-level-blood-predict-parkinsons-disease.html,/wellness/news-and-research/2018/01/04/caffeine-level-blood-predict-parkinsons-disease.html",
" 

                         ,	
			                  		,
										4 natural sweeteners and fluids to fight your sweet tooth","/wellness/related-stories.html?sectionTagID=MMSectionTags:English/Life-Style/health/diet&pathFrom=/content/mm/en/wellness,/wellness/diet-and-nutrition/2018/01/04/natural-sweeteners-fluids-fight-sweet-tooth.html,/wellness/diet-and-nutrition/2018/01/04/natural-sweeteners-fluids-fight-sweet-tooth.html",
" 

                         ,	
			                  		,
										30 minutes facial exercise daily can make you look younger","/wellness/related-stories.html?sectionTagID=MMSectionTags:English/Life-Style/study&pathFrom=/content/mm/en/wellness,/wellness/news-and-research/2018/01/04/facial-exercise-stay-young.html,/wellness/news-and-research/2018/01/04/facial-exercise-stay-young.html",
" 

                         ,	
			                  		,
										6 ways to counter winter chill","/wellness/related-stories.html?sectionTagID=MMSectionTags:English/Life-Style/health&pathFrom=/content/mm/en/wellness,/wellness/health/2018/01/04/six-ways-counter-winter-chill.html,/wellness/health/2018/01/04/six-ways-counter-winter-chill.html",
" 

                         ,	
			                  		,
										Heal Thy Self | Low libido? No libido: the solutions that work","/wellness/related-stories.html?sectionTagID=MMSectionTags:English/Life-Style/health/love-and-sex&pathFrom=/content/mm/en/wellness,/wellness/love-and-sex/2018/01/02/heal-thy-self-low-libido-practical-solutions.html,/wellness/love-and-sex/2018/01/02/heal-thy-self-low-libido-practical-solutions.html",
" 

                         ,	
			                  		,
										Epilepsy drug in pregnancy ups oral cleft risk in baby: study","/wellness/related-stories.html?sectionTagID=MMSectionTags:English/Life-Style/study&pathFrom=/content/mm/en/wellness,/wellness/news-and-research/2018/01/01/epilepsy-drug-pregnancy-up-cleft-rsk-babies.html,/wellness/news-and-research/2018/01/01/epilepsy-drug-pregnancy-up-cleft-rsk-babies.html",
" 

                         ,	
			                  		,
										7 easy ways to soothe teeth sensitivity","/wellness/related-stories.html?sectionTagID=MMSectionTags:English/Life-Style/health/tips&pathFrom=/content/mm/en/wellness,/wellness/health/2018/01/01/easy-ways-to-soothe-teeth-sensitivity.html,/wellness/health/2018/01/01/easy-ways-to-soothe-teeth-sensitivity.html",
" 

                         ,	
			                  		,
										New skin patch may help reduce body fat","/wellness/related-stories.html?sectionTagID=MMSectionTags:English/Life-Style/research&pathFrom=/content/mm/en/wellness,/wellness/news-and-research/2017/12/31/new-skin-patch-reduce-body-fat.html,/wellness/news-and-research/2017/12/31/new-skin-patch-reduce-body-fat.html",
" 

                         ,	
			                  		,
										Eat blueberries while treating cervical cancer","/wellness/related-stories.html?sectionTagID=MMSectionTags:English/Life-Style/health/diet-and-nutrition&pathFrom=/content/mm/en/wellness,/wellness/diet-and-nutrition/2017/12/31/eat-blueberries-while-treating-cancer.html,/wellness/diet-and-nutrition/2017/12/31/eat-blueberries-while-treating-cancer.html",
" 

                         ,	
			                  		,
										Heal Thy Self | Paws and effect… how a pet can boost your mental health","/wellness/related-stories.html?sectionTagID=MMSectionTags:English/Life-Style/health/mental-health&pathFrom=/content/mm/en/wellness,/wellness/mind/2017/12/27/heal-thy-self-paws-effects-how-to-boost-mental-health.html,/wellness/mind/2017/12/27/heal-thy-self-paws-effects-how-to-boost-mental-health.html",
" 

                         ,	
			                  		,
										These safety apps will assist Himachal women in distress","/women/related-stories.html?sectionTagID=MMSectionTags:English/women/issues&pathFrom=/content/mm/en/women,/women/issues/2018/02/05/these-safety-apps-assist-himachal-women-distress.html,/women/issues/2018/02/05/these-safety-apps-assist-himachal-women-distress.html",
" 

                         ,	
			                  		,
										Pickle makers to high flyers: thrifty women are going places","/women/related-stories.html?sectionTagID=MMSectionTags:English/women/Empowerment&pathFrom=/content/mm/en/women,/women/empowerment/2018/02/04/pickle-makers-to-high-flyers-kudumbasree-women.html,/women/empowerment/2018/02/04/pickle-makers-to-high-flyers-kudumbasree-women.html",
" 

                         ,	
			                  		,
										For marathon runner Pooja, saree is a sporting attire","/women/related-stories.html?sectionTagID=MMSectionTags:English/women/on-a-roll&pathFrom=/content/mm/en/women,/women/on-a-roll/2018/02/04/marathon-runner-saree.html,/women/on-a-roll/2018/02/04/marathon-runner-saree.html",
" 

                         ,	
			                  		,
										This 'padwoman' is on a mission to spread awareness on menstrual health","/women/related-stories.html?sectionTagID=MMSectionTags:English/women/on-a-roll&pathFrom=/content/mm/en/women,/women/on-a-roll/2018/02/04/padwoman-spread-awareness.html,/women/on-a-roll/2018/02/04/padwoman-spread-awareness.html",
" 

                         ,	
			                  		,
										Want your partner to be fit? Here's how you can be a source of motivation","/women/related-stories.html?sectionTagID=MMSectionTags:English/women/her-health&pathFrom=/content/mm/en/women,/women/herhealth/2018/02/04/partner-to-be-fit-source-of-motivation.html,/women/herhealth/2018/02/04/partner-to-be-fit-source-of-motivation.html",
" 

                         ,	
			                  		,
										Ladies, take note! Breast cancer treatments may up heart failure risk","/women/related-stories.html?sectionTagID=MMSectionTags:English/women/her-health&pathFrom=/content/mm/en/women,/women/herhealth/2018/02/03/breast-cancer-treatment-up-heart-failure-risk.html,/women/herhealth/2018/02/03/breast-cancer-treatment-up-heart-failure-risk.html",
" 

                         ,	
			                  		,
										How a group of women in Kochi gave a lift to the good old bicycle","/women/related-stories.html?sectionTagID=MMSectionTags:English/women/on-a-roll&pathFrom=/content/mm/en/women,/women/on-a-roll/2018/02/03/kochi-women-cyclers-old-bicycles.html,/women/on-a-roll/2018/02/03/kochi-women-cyclers-old-bicycles.html",
" 

                         ,	
			                  		,
										Legacy of Dr Mary Poonen: Isaac's speech was a tribute to Kerala's first lady doctor","/women/related-stories.html?sectionTagID=MMSectionTags:English/women/on-a-roll&pathFrom=/content/mm/en/women,/women/on-a-roll/2018/02/02/mary-poonen-first-kerala-lady-doctor-isaac-speech.html,/women/on-a-roll/2018/02/02/mary-poonen-first-kerala-lady-doctor-isaac-speech.html",
" 

                         ,	
			                  		,
										Menstruation taboos exist among both genders: Radhika Apte","/women/related-stories.html?sectionTagID=MMSectionTags:English/women/issues&pathFrom=/content/mm/en/women,/women/issues/2018/02/03/menstruation-taboos-exist-among-genders-radhika-apte.html,/women/issues/2018/02/03/menstruation-taboos-exist-among-genders-radhika-apte.html",
" 

                         ,	
			                  		,
										From stitching blouses to designer wear, local artisans turn budding entrepreneurs","/women/related-stories.html?sectionTagID=MMSectionTags:English/women/Empowerment&pathFrom=/content/mm/en/women,/women/empowerment/2018/02/03/sunita-usha-silai-local-artisans-budding-entrepreneurs.html,/women/empowerment/2018/02/03/sunita-usha-silai-local-artisans-budding-entrepreneurs.html",
" 

                         ,	
			                  		,
										A saucy tale: Aditi's Posh Nosh is every wannabe entrepreneur's dream","/women/related-stories.html?sectionTagID=MMSectionTags:English/women/shebusiness&pathFrom=/content/mm/en/women,/women/shebusiness/2018/02/02/aditi-mammen-gupta-nosh-posh-sauce-business.html,/women/shebusiness/2018/02/02/aditi-mammen-gupta-nosh-posh-sauce-business.html",
" 

                         ,	
			                  		,
										Women chess players outperform expectations against men","/women/related-stories.html?sectionTagID=MMSectionTags:English/women/issues&pathFrom=/content/mm/en/women,/women/issues/2018/02/02/women-chess-player-outperform-expectations-men.html,/women/issues/2018/02/02/women-chess-player-outperform-expectations-men.html",
" 

                         ,	
			                  		,
										Mothers from age 40 at risk of premature birth","/women/related-stories.html?sectionTagID=MMSectionTags:English/women/her-health&pathFrom=/content/mm/en/women,/women/herhealth/2018/02/02/mothers-age-40-premature-birth.html,/women/herhealth/2018/02/02/mothers-age-40-premature-birth.html",
" 

                         ,	
			                  		,
										Know how to dress right for cocktail parties","/women/related-stories.html?sectionTagID=MMSectionTags:English/women/living&pathFrom=/content/mm/en/women,/women/living/2018/02/02/dress-right-cocktail-parties.html,/women/living/2018/02/02/dress-right-cocktail-parties.html",
" 

                         ,	
			                  		,
										,EPF contributions of women employees reduced to 8% from 12%","/women/related-stories.html?sectionTagID=MMSectionTags:English/women/living&pathFrom=/content/mm/en/women,/women/living/2018/02/01/epf-contributions-women-employees-reduced.html,/women/living/2018/02/01/epf-contributions-women-employees-reduced.html",
" 

                         ,	
			                  		,
										,Ujjwala scheme expands ambit; to provide free LPG to 8cr women","/women/related-stories.html?sectionTagID=MMSectionTags:English/women/living&pathFrom=/content/mm/en/women,/women/living/2018/02/01/ujjwala-scheme-rural-woman-benefits.html,/women/living/2018/02/01/ujjwala-scheme-rural-woman-benefits.html",
" 

                         ,	
			                  		,
										Angelina Jolie urges NATO to tackle sexual violence in war","/women/related-stories.html?sectionTagID=MMSectionTags:English/women/issues&pathFrom=/content/mm/en/women,/women/issues/2018/02/01/angelina-jolie-urges-nato-tackle-sexual-violence-war.html,/women/issues/2018/02/01/angelina-jolie-urges-nato-tackle-sexual-violence-war.html",
" 

                         ,	
			                  		,
										Health tips: Prepare your body and mind for a pleasant motherhood","/women/related-stories.html?sectionTagID=MMSectionTags:English/women/her-health&pathFrom=/content/mm/en/women,/women/herhealth/2018/02/01/health-tips-prepare-body-mind-motherhood.html,/women/herhealth/2018/02/01/health-tips-prepare-body-mind-motherhood.html",
" 

                         ,	
			                  		,
										Google tribute to Kamala Das is an engrossing doodle","/women/related-stories.html?sectionTagID=MMSectionTags:English/women/on-a-roll&pathFrom=/content/mm/en/women,/women/on-a-roll/2018/02/01/google-doodle-celebrates-work-life-kamala-das.html,/women/on-a-roll/2018/02/01/google-doodle-celebrates-work-life-kamala-das.html",
" 

                         ,	
			                  		,
										Nobody dares to challenge the Lady Tarzan of Jharkhand","/women/related-stories.html?sectionTagID=MMSectionTags:English/women/on-a-roll&pathFrom=/content/mm/en/women,/women/on-a-roll/2018/01/31/nobody-dares-to-challenge-lady-tarzan-jharkhand.html,/women/on-a-roll/2018/01/31/nobody-dares-to-challenge-lady-tarzan-jharkhand.html",
" 

                         ,	
			                  		,
										Can't find the right pair of jeans? 5 tips every woman should know","/women/related-stories.html?sectionTagID=MMSectionTags:English/women/living&pathFrom=/content/mm/en/women,/women/living/2018/01/31/tips-buy-right-pair-of-jeans.html,/women/living/2018/01/31/tips-buy-right-pair-of-jeans.html",
" 

                         ,	
			                  		,
										Mothers, take note! Breastfeeding may reduce hypertension risk","/women/related-stories.html?sectionTagID=MMSectionTags:English/women/her-health&pathFrom=/content/mm/en/women,/women/herhealth/2018/01/31/breastfeeding-reduce-hypertension-risk.html,/women/herhealth/2018/01/31/breastfeeding-reduce-hypertension-risk.html",
" 

                         ,	
			                  		,
										Maharashtra to sell sanitary napkins at Rs 5 to rural women ","/women/related-stories.html?sectionTagID=MMSectionTags:English/women/issues&pathFrom=/content/mm/en/women,/women/issues/2018/01/31/maharashtra-sells-sanitary-napkin-ruiral-women.html,/women/issues/2018/01/31/maharashtra-sells-sanitary-napkin-ruiral-women.html",
" 

                         ,	
			                  		,
										How these biz siblings added color to their life and career","/women/related-stories.html?sectionTagID=MMSectionTags:English/women/shebusiness&pathFrom=/content/mm/en/women,/women/shebusiness/2018/01/30/business-siblings-painting-sisters-business.html,/women/shebusiness/2018/01/30/business-siblings-painting-sisters-business.html",
" 

                         ,	
			                  		,
										Dress right for this Valentine's Day date","/lifestyle/related-stories.html?sectionTagID=MMSectionTags:English/Life-Style/fashion&pathFrom=/content/mm/en/lifestyle,/lifestyle/beauty-and-fashion/2018/02/10/dressing-tips-valentines-day.html,/lifestyle/beauty-and-fashion/2018/02/10/dressing-tips-valentines-day.html",
" 

                         ,	
			                  		,
										Here's your Moon sign prediction for the day","/lifestyle/related-stories.html?sectionTagID=MMSectionTags:English/Life-Style/ASTRO&pathFrom=/content/mm/en/lifestyle,/lifestyle/astro/astrology-daily-predictions-sun-signs.html,/lifestyle/astro/astrology-daily-predictions-sun-signs.html",
" 

                         ,	
			                  		,
										Make-up tips for a memorable Valentine's Day","/lifestyle/related-stories.html?sectionTagID=MMSectionTags:English/Life-Style/beauty&pathFrom=/content/mm/en/lifestyle,/lifestyle/beauty-and-fashion/make-up-tips-to-bring-out-your-best-this-valentines-day.html,/lifestyle/beauty-and-fashion/make-up-tips-to-bring-out-your-best-this-valentines-day.html",
" 

                         ,	
			                  		,
										Get your love inked this V Day","/lifestyle/related-stories.html?sectionTagID=MMSectionTags:English/Life-Style/fashion&pathFrom=/content/mm/en/lifestyle,/lifestyle/beauty-and-fashion/2018/02/11/valentines-day-tattoo-ideas.html,/lifestyle/beauty-and-fashion/2018/02/11/valentines-day-tattoo-ideas.html",
" 

                         ,	
			                  		,
										Ornate and opulent: This Malappuram house will leave you spellbound","/lifestyle/related-stories.html?sectionTagID=MMSectionTags:English/Life-Style/decor&pathFrom=/content/mm/en/lifestyle,/lifestyle/decor/2018/02/09/malappuram-luxurious-house-design.html,/lifestyle/decor/2018/02/09/malappuram-luxurious-house-design.html",
" 

                         ,	
			                  		,
										Layer your perfume right! Create a signature scent","/lifestyle/related-stories.html?sectionTagID=MMSectionTags:English/Life-Style/beauty&pathFrom=/content/mm/en/lifestyle,/lifestyle/beauty-and-fashion/2018/02/08/layer-perfume-create-signature-smell.html,/lifestyle/beauty-and-fashion/2018/02/08/layer-perfume-create-signature-smell.html",
" 

                         ,	
			                  		,
										An elegant, low cost 2,600 sq ft utility home","/lifestyle/related-stories.html?sectionTagID=MMSectionTags:English/Life-Style/decor&pathFrom=/content/mm/en/lifestyle,/lifestyle/decor/2018/02/08/elegant-low-cost-utility-house-kozhikode.html,/lifestyle/decor/2018/02/08/elegant-low-cost-utility-house-kozhikode.html",
" 

                         ,	
			                  		,
										5 steps to easy pedicure, manicure at home","/lifestyle/related-stories.html?sectionTagID=MMSectionTags:English/Life-Style/beauty&pathFrom=/content/mm/en/lifestyle,/lifestyle/beauty-and-fashion/try-this-easy-manicure-and-pedicure-at-home-this-weekend.html,/lifestyle/beauty-and-fashion/try-this-easy-manicure-and-pedicure-at-home-this-weekend.html",
" 

                         ,	
			                  		,
										Charming exteriors and chic interiors: A 2,500 sq ft Thalassery house","/lifestyle/related-stories.html?sectionTagID=MMSectionTags:English/Life-Style/decor&pathFrom=/content/mm/en/lifestyle,/lifestyle/decor/2018/02/07/thalassery-house-charming-interiors-exteriors.html,/lifestyle/decor/2018/02/07/thalassery-house-charming-interiors-exteriors.html",
" 

                         ,	
			                  		,
										These bedridden entrepreneurs have a point to make","/lifestyle/related-stories.html?sectionTagID=MMSectionTags:English/Life-Style/gala&pathFrom=/content/mm/en/lifestyle,/lifestyle/society/2018/02/06/bedridden-entrepreneurs-wayanad-kerala.html,/lifestyle/society/2018/02/06/bedridden-entrepreneurs-wayanad-kerala.html",
" 

                         ,	
			                  		,
										A contemporary-Chettinad combo Kottayam house","/lifestyle/related-stories.html?sectionTagID=MMSectionTags:English/Life-Style/decor&pathFrom=/content/mm/en/lifestyle,/lifestyle/decor/2018/02/03/contemporary-chettinad-style-kottayam-home.html,/lifestyle/decor/2018/02/03/contemporary-chettinad-style-kottayam-home.html",
" 

                         ,	
			                  		,
										Say bye-bye to chapped lips with 10 home remedies","/lifestyle/related-stories.html?sectionTagID=MMSectionTags:English/Life-Style/beauty&pathFrom=/content/mm/en/lifestyle,/lifestyle/beauty-and-fashion/2018/02/03/home-remedies-for-chapped-lips.html,/lifestyle/beauty-and-fashion/2018/02/03/home-remedies-for-chapped-lips.html",
" 

                         ,	
			                  		,
										Kochi gears up for Kerala Fashion League","/lifestyle/related-stories.html?sectionTagID=MMSectionTags:English/Life-Style/fashion&pathFrom=/content/mm/en/lifestyle,/lifestyle/beauty-and-fashion/2018/01/31/kochi-gears-up-kerala-fashion-league.html,/lifestyle/beauty-and-fashion/2018/01/31/kochi-gears-up-kerala-fashion-league.html",
" 

                         ,	
			                  		,
										Meet the Kerala designer who made her way to New York Fashion Week","/lifestyle/related-stories.html?sectionTagID=MMSectionTags:English/Life-Style/fashion&pathFrom=/content/mm/en/lifestyle,/lifestyle/beauty-and-fashion/2018/02/02/meet-kerala-designer-manjulakshmi-new-york-fashion-week.html,/lifestyle/beauty-and-fashion/2018/02/02/meet-kerala-designer-manjulakshmi-new-york-fashion-week.html",
" 

                         ,	
			                  		,
										Miss World Manushi kicks off hygiene awareness tour","/lifestyle/related-stories.html?sectionTagID=MMSectionTags:English/Life-Style/fashion&pathFrom=/content/mm/en/lifestyle,/lifestyle/beauty-and-fashion/2018/02/02/miss-world-manushi-chhillar-hygiene-awareness-tour.html,/lifestyle/beauty-and-fashion/2018/02/02/miss-world-manushi-chhillar-hygiene-awareness-tour.html",
" 

                         ,	
			                  		,
										Zara creates lungi dress for Rs 6500! Trolled by netizens","/lifestyle/related-stories.html?sectionTagID=MMSectionTags:English/Life-Style/fashion&pathFrom=/content/mm/en/lifestyle,/lifestyle/beauty-and-fashion/2018/02/01/zara-creates-lungi-dress-trolled-by-netizens.html,/lifestyle/beauty-and-fashion/2018/02/01/zara-creates-lungi-dress-trolled-by-netizens.html",
" 

                         ,	
			                  		,
										Five books to look forward to in February 2018","/lifestyle/related-stories.html?sectionTagID=MMSectionTags:English/Life-Style/books&pathFrom=/content/mm/en/lifestyle,/lifestyle/books/2018/02/01/five-books-to-look-forward-february.html,/lifestyle/books/2018/02/01/five-books-to-look-forward-february.html",
" 

                         ,	
			                  		,
										4 cool ideas to transform your boring workspace","/lifestyle/related-stories.html?sectionTagID=MMSectionTags:English/Life-Style/decor&pathFrom=/content/mm/en/lifestyle,/lifestyle/decor/2018/01/31/ideas-to-transform-workspace.html,/lifestyle/decor/2018/01/31/ideas-to-transform-workspace.html",
" 

                         ,	
			                  		,
										14 smart interior trends of  2018","/lifestyle/related-stories.html?sectionTagID=MMSectionTags:English/Life-Style/decor&pathFrom=/content/mm/en/lifestyle,/lifestyle/decor/2018/01/30/smart-interior-decor-trends-2018-homes.html,/lifestyle/decor/2018/01/30/smart-interior-decor-trends-2018-homes.html",
" 

                         ,	
			                  		,
										Actor Tovino shares fondest memories of his house","/lifestyle/related-stories.html?sectionTagID=MMSectionTags:English/Life-Style/decor&pathFrom=/content/mm/en/lifestyle,/lifestyle/decor/2018/01/30/actor-tovino-thomas-shares-fondest-memories-house.html,/lifestyle/decor/2018/01/30/actor-tovino-thomas-shares-fondest-memories-house.html",
" 

                         ,	
			                  		,
										Grammys: white roses are the motif, women's equality the message","/lifestyle/related-stories.html?sectionTagID=MMSectionTags:English/Life-Style/fashion&pathFrom=/content/mm/en/lifestyle,/lifestyle/beauty-and-fashion/2018/01/29/grammy-awards-red-carpet.html,/lifestyle/beauty-and-fashion/2018/01/29/grammy-awards-red-carpet.html",
" 

                         ,	
			                  		,
										Stewart Parvin frontrunner to design Meghan Markle's dress","/lifestyle/related-stories.html?sectionTagID=MMSectionTags:English/Life-Style/fashion&pathFrom=/content/mm/en/lifestyle,/lifestyle/beauty-and-fashion/2018/01/28/stewart-parvin-frontrunner-designer-meghan-markle-dress.html,/lifestyle/beauty-and-fashion/2018/01/28/stewart-parvin-frontrunner-designer-meghan-markle-dress.html",
" 

                         ,	
			                  		,
										Plastic trash sickening corals: study","/lifestyle/related-stories.html?sectionTagID=MMSectionTags:English/Life-Style/green&pathFrom=/content/mm/en/lifestyle,/lifestyle/green/2018/01/28/plastic-trash-sickens-coral-.html,/lifestyle/green/2018/01/28/plastic-trash-sickens-coral-.html",
" 

                         ,	
			                  		,
										Fraud foretold: When a headless clay figure tried to influence a court | Part 4","/lifestyle/related-stories.html?sectionTagID=MMSectionTags:English/Life-Style/ASTRO&pathFrom=/content/mm/en/lifestyle,/lifestyle/astro/2018/01/28/fraud-foretold-headless-clay-figure-criminal-court-cheating.html,/lifestyle/astro/2018/01/28/fraud-foretold-headless-clay-figure-criminal-court-cheating.html",
" 

                         ,	
			                  		,
										Here are the secrets to a long and happy life","/lifestyle/related-stories.html?sectionTagID=MMSectionTags:English/Life-Style/gala&pathFrom=/content/mm/en/lifestyle,/lifestyle/society/2018/01/27/secrets-to-long-and-happy-life.html,/lifestyle/society/2018/01/27/secrets-to-long-and-happy-life.html",
" 

                         ,	
			                  		,
										A novel blend of contemporary style in 4,800 sqft | Kozhikode house","/lifestyle/related-stories.html?sectionTagID=MMSectionTags:English/Life-Style/decor&pathFrom=/content/mm/en/lifestyle,/lifestyle/decor/2018/01/27/kozhikode-home-novel-contemporary-style.html,/lifestyle/decor/2018/01/27/kozhikode-home-novel-contemporary-style.html",
" 

                         ,	
			                  		,
										Fraud Foretold: A lazy reporter and a ghost on newspaper| Part 3","/lifestyle/related-stories.html?sectionTagID=MMSectionTags:English/Life-Style/ASTRO&pathFrom=/content/mm/en/lifestyle,/lifestyle/astro/2018/01/27/fraud-foretold-lazy-reporter-fake-news.html,/lifestyle/astro/2018/01/27/fraud-foretold-lazy-reporter-fake-news.html",
" 

                         ,	
			                  		,
										 Fraud foretold: Keep away the doctor, usher in the astrologer | Part 2","/lifestyle/related-stories.html?sectionTagID=MMSectionTags:English/Life-Style/ASTRO&pathFrom=/content/mm/en/lifestyle,/lifestyle/astro/2018/01/25/fraud-foretold-keep-away-doctorusher-astrologer.html,/lifestyle/astro/2018/01/25/fraud-foretold-keep-away-doctorusher-astrologer.html",
" 

                         ,	
			                  		,
										Tattoo trend of 2018: minimalist, miniature","/lifestyle/related-stories.html?sectionTagID=MMSectionTags:English/Life-Style/fashion&pathFrom=/content/mm/en/lifestyle,/lifestyle/beauty-and-fashion/2018/01/25/tattoo-trend-2018-minimalist-miniature.html,/lifestyle/beauty-and-fashion/2018/01/25/tattoo-trend-2018-minimalist-miniature.html",
